synthetic_id,circuits,communities,customers_out,cause,cause_detail,crew_status,start_utc,etr_utc,n_out,centroid_lat,centroid_lng,geom_point_encoded,geom_polygon_encoded,inc_id_raw,positional_id_raw,tile_quadkey,deployment_guid,retrieved_utc
454|2026-08-12T18:29:24Z,454,NE Escondido/ Dixon Lake/ Daley Ranch,235,Vehicle Contact,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,,2026-08-12T18:29:24Z,2026-08-13T17:30:00Z,1,33.15267,-117.06084,ecjiEfmniU,gqiiErfoiUsSoFsDcBaGoFPgYjH_DjCSbB?~MrXz@jW,,7-0,0230132,d1632b2d-892e-4a21-8985-bfad8fa26ffd,2026-08-13T16:46:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1299,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T17:30:00Z,1,32.68561,-117.06343,a|nfEl}niU,{zmfEjgniUcBjMe@~CgTja@mCzE_X~M_IoZwBoKbe@_{@lMShMjCz@rS,,7-1,0230132,d1632b2d-892e-4a21-8985-bfad8fa26ffd,2026-08-13T16:46:17Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1158,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T17:30:00Z,1,32.68634,-117.06404,s`ofEfaoiU,qhnfEj}miUg@fm@sInPmCzE_X~M_IoZwBoKbe@_{@lMSnA~M,,13-0,0230132213200,0e1a0c7e-ff09-4eba-bdc3-800d6046b4c8,2026-08-13T17:01:16Z
325|2026-08-13T04:14:32Z,325,"National City, Paradise Hills/ Skyline/ Bay Terraces",1158,,The cause of the outage is unknown and still under investigation.,,2026-08-13T04:14:32Z,2026-08-13T17:30:00Z,1,32.68634,-117.06404,s`ofEfaoiU,qhnfEj}miUg@fm@sInPmCzE_X~M_IoZwBoKbe@_{@lMSnA~M,,13-0,0230132213200,b6a5d1af-d01a-4e1d-a49a-8ea64a4a0f0e,2026-08-13T17:16:16Z
350|2026-08-13T20:34Z,350,Pauma Valley/ Lilac,29,,The cause of the outage is unknown and still under investigation.,,2026-08-13T20:34Z,2026-08-14T00:00:00Z,1,33.30507,-117.06672,u{gjE~qoiU,gxfjEz}niUgOznBwGkMgYwj@mZc~@xJc[zc@?~\nd@,,4-0,0230,064410be-ea1c-42f2-b129-b042377da367,2026-08-13T21:16:18Z
350|2026-08-13T20:34Z,350,Pauma Valley/ Lilac,29,,The cause of the outage is unknown and still under investigation.,,2026-08-13T20:34Z,2026-08-14T00:00:00Z,1,33.30507,-117.06672,u{gjE~qoiU,gxfjEz}niUgOznBwGkMgYwj@mZc~@xJc[zc@?~\nd@,,4-0,0230,d7670fa2-cbd6-4afb-93d7-305c48167819,2026-08-13T21:31:17Z
350|2026-08-13T20:34Z,350,Pauma Valley/ Lilac,29,,The cause of the outage is unknown and still under investigation.,,2026-08-13T20:34Z,2026-08-14T00:00:00Z,1,33.30507,-117.06672,u{gjE~qoiU,gxfjEz}niUgOznBwGkMgYwj@mZc~@xJc[zc@?~\nd@,,4-0,0230,e67a6609-5cfb-4e71-a158-fa1f113d8ea9,2026-08-13T21:46:19Z
350|2026-08-13T20:34Z,350,Pauma Valley/ Lilac,29,,The cause of the outage is unknown and still under investigation.,,2026-08-13T20:34Z,2026-08-14T00:00:00Z,1,33.30507,-117.06672,u{gjE~qoiU,gxfjEz}niUgOznBwGkMgYwj@mZc~@xJc[zc@?~\nd@,,4-0,0230,b1a4229a-2c13-4e44-9a46-afb70250713b,2026-08-13T22:01:16Z
325|2026-08-13T06:34Z,325,Paradise Hills/ Skyline/ Bay Terraces,13,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-13T06:34Z,2026-08-14T10:00:00Z,1,32.6699,-117.0601,{ykfErhniU,,,4-0,0230,77eccfdb-a60b-412f-8ebb-258ea4149b1b,2026-08-14T07:27:17Z
325|2026-08-13T06:34Z,325,Paradise Hills/ Skyline/ Bay Terraces,13,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-13T06:34Z,2026-08-14T10:00:00Z,1,32.6699,-117.0601,{ykfErhniU,,,4-0,0230,d3351c2b-a184-4b48-b740-b780ffe5b14d,2026-08-14T07:31:16Z
