utility,incident_id,type,affected_points,start_local_raw,start_utc,etr_local_raw,etr_utc,centroid_lat,centroid_lng,bbox_lat_min,bbox_lng_min,bbox_lat_max,bbox_lng_max,retrieved_utc
anaheim,292785,Current Electric Outage,9,8/31/2026 11:51 AM,2026-08-31T18:51:00Z,8/31/2026 4:00 PM,2026-08-31T23:00:00Z,33.813278,-118.007912,33.8129591936,-118.008258817,33.8135359626,-118.00747742,2026-08-31T20:46:53Z
anaheim,292784,Current Electric Outage,21,8/31/2026 11:53 AM,2026-08-31T18:53:00Z,8/31/2026 4:15 PM,2026-08-31T23:15:00Z,33.826466,-117.929404,33.8129408976,-118.008762271,33.8307363394451,-117.904637599716,2026-08-31T20:46:53Z
anaheim,292785,Current Electric Outage,9,8/31/2026 11:51 AM,2026-08-31T18:51:00Z,8/31/2026 4:00 PM,2026-08-31T23:00:00Z,33.813278,-118.007912,33.8129591936,-118.008258817,33.8135359626,-118.00747742,2026-09-01T00:07:38Z
anaheim,292785,Current Electric Outage,9,8/31/2026 11:51 AM,2026-08-31T18:51:00Z,8/31/2026 4:00 PM,2026-08-31T23:00:00Z,33.813278,-118.007912,33.8129591936,-118.008258817,33.8135359626,-118.00747742,2026-09-01T05:19:38Z
anaheim,292804,Current Electric Outage,75,9/1/2026 8:37 AM,2026-09-01T15:37:00Z,9/1/2026 4:00 PM,2026-09-01T23:00:00Z,33.821007,-117.927966,33.820476965,-117.932039498,33.8218353871,-117.924019071,2026-09-01T18:24:13Z
anaheim,292814,Current Electric Outage,30,9/1/2026 11:21 AM,2026-09-01T18:21:00Z,9/1/2026 3:45 PM,2026-09-01T22:45:00Z,33.808702,-117.951947,33.8085104528,-117.953732177,33.8089131858,-117.950413586,2026-09-01T18:24:13Z
anaheim,292804,Current Electric Outage,75,9/1/2026 8:37 AM,2026-09-01T15:37:00Z,9/1/2026 4:00 PM,2026-09-01T23:00:00Z,33.821007,-117.927966,33.820476965,-117.932039498,33.8218353871,-117.924019071,2026-09-01T21:17:21Z
anaheim,292818,Current Electric Outage,7,9/1/2026 12:30 PM,2026-09-01T19:30:00Z,9/1/2026 4:30 PM,2026-09-01T23:30:00Z,33.792775,-117.913257,33.7923709102,-117.913267658,33.7928506621,-117.913242046,2026-09-01T21:17:21Z
anaheim,292831,Current Electric Outage,29,9/1/2026 10:46 PM,2026-09-02T05:46:00Z,9/2/2026 3:00 AM,2026-09-02T10:00:00Z,33.849173,-117.936033,33.8472692021,-117.936916671,33.8505522161,-117.935121219,2026-09-02T05:57:30Z
anaheim,292834,Current Electric Outage,15,9/2/2026 8:06 AM,2026-09-02T15:06:00Z,9/2/2026 9:15 AM,2026-09-02T16:15:00Z,33.836312,-117.930507,33.8356193420793,-117.931316011765,33.8369166056115,-117.929628391238,2026-09-02T15:08:57Z
anaheim,292834,Current Electric Outage,15,9/2/2026 8:06 AM,2026-09-02T15:06:00Z,9/2/2026 4:00 PM,2026-09-02T23:00:00Z,33.836312,-117.930507,33.8356193420793,-117.931316011765,33.8369166056115,-117.929628391238,2026-09-02T18:47:38Z
anaheim,292836,Current Electric Outage,24,9/2/2026 8:06 AM,2026-09-02T15:06:00Z,9/2/2026 3:30 PM,2026-09-02T22:30:00Z,33.808011,-117.95198,33.8075214565,-117.953773318,33.8082544258,-117.950357142,2026-09-02T18:47:38Z
anaheim,292847,Current Electric Outage,15,9/2/2026 12:31 PM,2026-09-02T19:31:00Z,9/2/2026 2:45 PM,2026-09-02T21:45:00Z,33.844877,-117.974303,33.8445876837,-117.975152172,33.8451676758,-117.973616326,2026-09-02T21:22:06Z
anaheim,292871,Current Electric Outage,40,9/3/2026 7:57 AM,2026-09-03T14:57:00Z,9/3/2026 4:00 PM,2026-09-03T23:00:00Z,33.839337,-117.931312,33.8381143544,-117.932591744,33.8403014647,-117.929902842,2026-09-03T15:14:51Z
anaheim,292871,Current Electric Outage,40,9/3/2026 7:57 AM,2026-09-03T14:57:00Z,9/3/2026 4:00 PM,2026-09-03T23:00:00Z,33.839337,-117.931312,33.8381143544,-117.932591744,33.8403014647,-117.929902842,2026-09-03T18:46:08Z
anaheim,292886,Current Electric Outage,45,9/3/2026 1:37 PM,2026-09-03T20:37:00Z,9/3/2026 4:00 PM,2026-09-03T23:00:00Z,33.820434,-117.92616,33.8197502619,-117.928331482,33.8210932789,-117.92397267,2026-09-03T21:25:07Z
anaheim,292882,Current Electric Outage,31,9/3/2026 12:58 PM,2026-09-03T19:58:00Z,9/3/2026 3:30 PM,2026-09-03T22:30:00Z,33.805492,-117.949755,33.8052878333,-117.949788295,33.8056083367,-117.949732346,2026-09-03T21:25:07Z
anaheim,292886,Current Electric Outage,45,9/3/2026 1:37 PM,2026-09-03T20:37:00Z,9/3/2026 5:30 PM,2026-09-04T00:30:00Z,33.820434,-117.92616,33.8197502619,-117.928331482,33.8210932789,-117.92397267,2026-09-03T23:30:22Z
anaheim,292893,Current Electric Outage,5,9/3/2026 3:31 PM,2026-09-03T22:31:00Z,9/3/2026 7:45 PM,2026-09-04T02:45:00Z,33.821227,-117.933149,33.8208929968,-117.933190442,33.8215779248,-117.933123811,2026-09-03T23:30:22Z
anaheim,292893,Current Electric Outage,5,9/3/2026 3:31 PM,2026-09-03T22:31:00Z,9/3/2026 8:30 PM,2026-09-04T03:30:00Z,33.821227,-117.933149,33.8208929968,-117.933190442,33.8215779248,-117.933123811,2026-09-04T01:19:16Z
